cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
289,3074,"Mora, Miller and Harper",Stand-alone zero tolerance algorithm,2300,4883,successful,144,US,USD,1/31/2021,6/7/2021,cat02,scat02
3165,2031,Peterson Ltd,Re-engineered 24hour matrix,14500,159056,successful,1559,US,USD,4/26/2020,2/28/2021,cat02,scat02
2925,5873,Nunez-King,Phased clear-thinking policy,2200,8501,successful,207,GB,GBP,4/9/2020,3/5/2021,cat02,scat02
2247,5501,Logan-Curtis,Enhanced optimal ability,170600,114523,failed,4405,US,USD,11/21/2020,1/19/2021,cat02,scat02
2408,3489,"Chan, Washington and Callahan",Optional zero administration neural-net,7800,3144,failed,92,US,USD,4/12/2021,7/2/2021,cat02,scat02
2632,4210,Ramirez LLC,Reduced reciprocal focus group,9800,11091,successful,241,US,USD,12/9/2020,5/26/2021,cat02,scat02
970,6151,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200,3208,failed,44,US,USD,8/13/2021,8/31/2021,cat02,scat06
1239,6047,Fitzgerald PLC,Realigned user-facing concept,106400,39996,failed,1000,US,USD,6/25/2021,8/8/2021,cat02,scat06
253,5445,Douglas LLC,Reduced heuristic moratorium,900,9193,successful,164,US,USD,10/6/2021,1/27/2022,cat02,scat06
393,5493,"Frye, Hunt and Powell",Polarized incremental emulation,10000,2461,failed,37,IT,EUR,5/10/2021,8/3/2021,cat02,scat06
1090,6036,Parker LLC,Customizable intermediate extranet,137200,88037,failed,1467,US,USD,12/2/2021,1/12/2022,cat02,scat06
2536,2368,Smith and Sons,Upgradable high-level solution,15800,57157,successful,524,US,USD,2/2/2021,12/15/2021,cat02,scat06
3039,1501,Palmer Inc,Universal multi-state capability,63200,6041,failed,168,US,USD,4/5/2021,7/5/2021,cat02,scat06
2685,4351,Ferguson PLC,Public-key intangible superstructure,6300,13213,successful,176,US,USD,10/3/2020,2/19/2021,cat02,scat06
1401,3096,Richardson Inc,Assimilated fault-tolerant capacity,5000,8907,successful,106,US,USD,2/21/2021,8/15/2021,cat02,scat06
810,6162,Webb-Smith,Advanced content-based installation,9300,4124,failed,37,US,USD,9/4/2021,11/29/2021,cat02,scat06
179,1433,"Wang, Nguyen and Horton",Innovative holistic hub,6200,8645,successful,192,US,USD,9/10/2021,11/5/2021,cat02,scat06
1659,2720,Fox-Williams,Profound system-worthy functionalities,128900,196960,successful,7295,US,USD,12/15/2021,1/13/2022,cat02,scat06
2182,5251,West-Stevens,Reactive solution-oriented groupware,1200,13513,successful,122,US,USD,3/30/2021,7/15/2021,cat02,scat06
985,1797,Ramos and Sons,Extended responsive Internet solution,100,1,failed,1,GB,GBP,6/11/2021,6/28/2021,cat02,scat06
1519,1656,Rodriguez PLC,Grass-roots upward-trending installation,167500,114615,failed,1274,US,USD,1/19/2020,3/14/2021,cat02,scat06
2004,1346,Bright and Sons,Object-based needs-based info-mediaries,6000,12468,successful,160,US,USD,10/23/2021,11/20/2021,cat02,scat06
733,2989,"Craig, Ellis and Miller",Persevering 5thgeneration throughput,84500,193101,successful,2414,US,USD,1/11/2021,6/17/2021,cat02,scat06
2394,5629,Santos Group,Secured dynamic capacity,5600,9508,successful,122,US,USD,12/13/2020,4/30/2021,cat02,scat06
671,3456,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200,10295,successful,98,US,USD,11/11/2020,11/6/2021,cat02,scat08
1683,3229,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200,18829,failed,200,US,USD,11/14/2021,1/2/2022,cat02,scat08
2181,2277,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900,6430,successful,71,AU,AUD,5/29/2021,8/20/2021,cat02,scat08
2912,1276,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200,170623,successful,1917,US,USD,7/9/2021,10/15/2021,cat02,scat08
2465,3694,Avila-Jones,Implemented discrete secured line,5400,7322,successful,70,US,USD,12/3/2020,11/25/2021,cat02,scat08
2757,2260,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200,13632,successful,195,US,USD,9/8/2020,4/16/2021,cat02,scat08
64,5374,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500,175573,successful,3376,US,USD,11/13/2020,7/23/2021,cat02,scat08
625,4420,Rodriguez-Brown,Devolved foreground benchmark,171300,100650,failed,1059,US,USD,1/29/2021,6/20/2021,cat02,scat08
2915,3849,Hernandez Group,Ergonomic uniform open system,128100,40107,failed,955,DK,DKK,5/16/2020,3/18/2021,cat02,scat08
1458,1638,"Summers, Gallegos and Stein",Mandatory mobile product,188100,5528,failed,67,US,USD,9/24/2020,7/27/2021,cat02,scat08
3195,5230,"Calhoun, Rogers and Long",Progressive discrete hub,6600,3012,failed,65,US,USD,4/25/2020,3/22/2021,cat02,scat08
2691,1763,Morgan-Warren,Face-to-face encompassing info-mediaries,87900,171549,successful,4289,US,USD,12/20/2020,7/30/2021,cat02,scat08
735,4323,"Lloyd, Kennedy and Davis",Compatible multimedia hub,1700,5328,successful,107,US,USD,2/27/2021,10/2/2021,cat02,scat08
3168,5256,"Guerrero, Flores and Jenkins",Networked optimal architecture,3400,2809,failed,32,US,USD,1/12/2021,12/22/2021,cat02,scat08
2545,4836,Harris-Perry,User-centric 6thgeneration attitude,4100,3087,canceled,75,US,USD,3/5/2021,7/26/2021,cat02,scat08
80,5981,Guzman Group,Ameliorated disintermediate utilization,114300,96777,failed,1257,US,USD,2/10/2021,9/22/2021,cat02,scat08
116,1463,Little-Marsh,Virtual attitude-oriented migration,8000,2758,failed,25,US,USD,10/7/2021,12/28/2021,cat02,scat08
2087,4577,Ramirez-Myers,Switchable intangible definition,900,14547,successful,186,US,USD,11/25/2020,10/16/2021,cat02,scat08
1409,4951,Leblanc-Pineda,Future-proofed upward-trending contingency,2700,1479,failed,25,US,USD,8/13/2021,11/21/2021,cat02,scat08
764,3567,Cruz Ltd,Exclusive dynamic adapter,114800,12938,canceled,145,CH,CHF,6/26/2020,3/9/2021,cat02,scat08
1635,5475,"Acosta, Mullins and Morris",Pre-emptive interactive model,97300,62127,failed,941,US,USD,5/28/2021,7/1/2021,cat02,scat08
1653,2114,Schmidt-Gomez,User-centric impactful projection,5100,2064,failed,83,US,USD,6/2/2021,9/4/2021,cat02,scat08
3158,5216,Hensley Ltd,Versatile global attitude,6200,10938,successful,296,US,USD,10/28/2020,2/27/2021,cat02,scat08
1646,1665,"Wilson, Brooks and Clark",Operative well-modulated data-warehouse,146400,152438,successful,1605,US,USD,11/14/2021,12/14/2021,cat02,scat08
726,6051,"Avila, Ford and Welch",Focused leadingedge matrix,9000,7227,failed,80,GB,GBP,5/24/2020,5/26/2021,cat02,scat08
2082,3983,"Holt, Bernard and Johnson",Multi-lateral didactic encoding,115600,184086,successful,2218,GB,GBP,1/4/2021,4/11/2021,cat02,scat08
1807,2966,Harrison-Bridges,Profit-focused exuding moderator,77000,1930,failed,49,GB,GBP,3/4/2021,9/21/2021,cat02,scat08
1436,4478,Morrison-Henderson,De-engineered disintermediate encoding,100,4,canceled,1,CH,CHF,6/18/2021,11/12/2021,cat02,scat08
2704,4238,Ritter PLC,Multi-channeled upward-trending application,9500,14408,successful,554,CA,CAD,12/25/2020,7/12/2021,cat02,scat08
68,4404,Burnett-Mora,Quality-focused 24/7 superstructure,6400,12129,successful,238,GB,GBP,9/6/2020,8/1/2021,cat02,scat08
1260,5666,Smith-Smith,Total leadingedge neural-net,189000,5916,failed,64,US,USD,3/10/2021,5/26/2021,cat02,scat08
2929,3691,"Dunn, Moreno and Green",Intuitive object-oriented task-force,1900,2884,successful,96,US,USD,2/23/2021,2/28/2021,cat02,scat08
255,2703,Robinson Group,Re-contextualized homogeneous flexibility,16200,75955,successful,1101,US,USD,7/3/2020,5/18/2021,cat02,scat08
842,4253,"Turner, Scott and Gentry",Assimilated regional groupware,5600,2445,failed,58,IT,EUR,3/31/2021,12/4/2021,cat02,scat08
2392,5652,Gardner Inc,Function-based systematic Graphical User Interface,3700,5028,successful,180,US,USD,7/22/2021,1/3/2022,cat02,scat08
1699,3279,Meyer-Avila,Multi-tiered discrete support,10000,6100,failed,191,US,USD,12/2/2020,5/28/2021,cat02,scat08
335,3233,Matthews LLC,Advanced transitional help-desk,3900,8125,successful,198,US,USD,9/5/2020,4/21/2021,cat02,scat08
2711,3017,Johnson-Pace,Persistent 3rdgeneration moratorium,149600,169586,successful,5139,US,USD,7/10/2021,1/12/2022,cat02,scat08
1169,3482,Macias Inc,Optimized didactic intranet,8100,6086,failed,94,US,USD,9/2/2020,8/6/2021,cat02,scat08
342,2166,Jones-Ryan,Vision-oriented uniform instruction set,6700,8917,successful,307,US,USD,3/27/2021,10/9/2021,cat02,scat08
3061,4146,Collier LLC,Secured well-modulated projection,17100,111502,successful,1467,CA,CAD,9/9/2020,9/5/2021,cat02,scat08
1336,2651,Sanders LLC,Multi-tiered explicit focus group,150600,127745,failed,1825,US,USD,2/1/2021,1/16/2022,cat02,scat08
1062,1409,"Christian, Kim and Jimenez",Devolved foreground throughput,134400,155849,successful,1470,US,USD,7/11/2021,9/17/2021,cat02,scat08
2250,3717,"Thomas, Clay and Mendoza",Multi-channeled reciprocal interface,800,2991,successful,32,US,USD,5/13/2020,3/6/2021,cat02,scat08
2175,3963,"Taylor, Santiago and Flores",Polarized composite customer loyalty,66600,37823,failed,374,US,USD,10/8/2020,4/11/2021,cat02,scat08
378,2152,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100,2,failed,1,IT,EUR,10/8/2021,11/3/2021,cat02,scat017
747,2974,Davis-Michael,Progressive tertiary framework,3900,4776,successful,85,GB,GBP,6/29/2021,8/27/2021,cat02,scat017
1221,1268,Sandoval Group,Assimilated multi-tasking archive,7100,8716,successful,126,US,USD,8/30/2021,9/21/2021,cat02,scat017
2836,1822,Garcia Ltd,Secured global success,5600,5476,failed,137,DK,DKK,12/13/2020,4/14/2021,cat02,scat017
467,5066,"Roberts, Hinton and Williams",Programmable static middleware,35000,177936,successful,3016,US,USD,7/4/2020,3/31/2021,cat02,scat017
1277,5075,Marquez-Kerr,Automated hybrid orchestration,15800,83267,successful,980,US,USD,4/1/2021,1/1/2022,cat02,scat017
2663,3855,Lutz Group,Enterprise-wide foreground paradigm,2700,1012,failed,12,IT,EUR,9/7/2020,7/5/2021,cat02,scat017
1057,5923,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600,11746,successful,131,US,USD,9/29/2021,11/29/2021,cat02,scat018
1556,1867,Collins-Goodman,Cross-platform even-keeled initiative,1400,9253,successful,88,US,USD,5/11/2020,3/9/2021,cat02,scat018
2110,4376,Daniel-Luna,Mandatory multimedia leverage,75000,2529,failed,40,US,USD,10/20/2020,1/17/2021,cat02,scat018
647,2785,Cole LLC,Proactive responsive emulation,111900,85902,failed,3182,IT,EUR,8/7/2021,1/13/2022,cat02,scat018
